household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT1017,2,continuous,1,4,7,108,no_vacc,NA,2,,2,0,NA,,NA,Mara,1
RCT1019,1,continuous,1,4,7,108,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1020,2,continuous,1,4,7,108,yes_vacc,2,0,yes_card,0,0,NA,no,2,Mara,1
RCT1021,4,continuous,1,4,7,108,no_vacc,NA,4,,0,0,NA,,NA,Mara,1
RCT1023,3,continuous,1,4,7,108,yes_vacc,3,0,yes_card,2,2,NA,no,3,Mara,1
RCT1024,2,continuous,1,4,7,108,no_vacc,NA,2,,2,0,NA,,NA,Mara,1
RCT1013,2,continuous,1,4,7,75,no_vacc,NA,2,,2,0,NA,,NA,Mara,1
RCT1012,2,continuous,1,4,7,75,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
RCT1009,1,continuous,1,4,7,75,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1008,3,continuous,1,4,7,75,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,1
RCT1007,2,continuous,1,4,7,75,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1006,1,continuous,1,4,7,75,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1005,3,continuous,1,4,7,75,yes_vacc,3,0,yes_card,3,1,2,yes,3,Mara,1
RCT1014,2,continuous,1,4,7,75,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
RCT1004,2,continuous,1,4,7,7,yes_vacc,2,0,yes_card,NA,2,NA,no,2,Mara,1
RCT1003,5,continuous,1,4,7,7,yes_vacc,1,4,yes_card,5,1,NA,no,1,Mara,1
RCT1002,6,continuous,1,4,7,7,yes_vacc,1,5,yes_card,6,1,NA,no,1,Mara,1
RCT1001,2,continuous,1,4,7,7,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
HS1903,3,continuous,1,4,7,7,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,1
HS1904,3,continuous,1,4,7,7,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,1
HS1905,1,continuous,1,4,7,7,yes_vacc,1,0,yes_card,NA,1,NA,no,1,Mara,1
HS1906,1,continuous,1,4,7,7,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1907,3,continuous,1,4,7,7,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,1
HS1908,1,continuous,1,4,7,7,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1910,2,continuous,1,4,17,87,yes_vacc,5,0,yes_card,2,2,NA,no,2,Mara,1
HS1911,1,continuous,1,4,17,87,yes_vacc,1,0,yes_card,NA,1,NA,no,1,Mara,1
HS1913,2,continuous,1,4,17,87,no_vacc,NA,2,,NA,0,NA,,NA,Mara,1
HS1914,1,continuous,1,4,17,87,yes_vacc,1,0,yes_card,NA,1,NA,no,1,Mara,1
HS1915,1,continuous,1,4,17,87,no_vacc,NA,1,,NA,0,NA,,NA,Mara,1
HS1916,5,continuous,1,4,17,87,yes_vacc,1,4,yes_card,NA,1,NA,no,1,Mara,1
HS1917,2,continuous,1,4,17,87,yes_vacc,1,1,yes_card,NA,1,NA,no,1,Mara,1
HS1918,3,continuous,1,4,17,87,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,1
HS1929,1,continuous,1,4,17,57,yes_vacc,1,0,yes_card,NA,0,NA,no,1,Mara,1
HS1930,1,continuous,1,4,17,57,yes_vacc,1,0,yes_card,NA,1,NA,no,1,Mara,1
HS1931,1,continuous,1,4,17,57,yes_vacc,1,0,yes_card,NA,1,NA,no,1,Mara,1
HS1933,3,continuous,1,4,17,57,no_vacc,NA,3,,NA,0,NA,,NA,Mara,1
HS1934,1,continuous,1,4,17,57,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1935,1,continuous,1,4,17,57,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
HS1936,2,continuous,1,4,17,57,yes_vacc,4,2,yes_card,NA,2,NA,no,2,Mara,1
HS1937,3,continuous,1,4,17,57,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,1
HS1938,2,continuous,1,4,17,57,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
HS1919,2,continuous,1,4,17,104,yes_vacc,2,0,yes_card,1,0,NA,no,2,Mara,1
HS1920,2,continuous,1,4,17,104,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
HS1921,1,continuous,1,4,17,104,yes_vacc,1,0,yes_card,NA,0,NA,no,1,Mara,1
HS1922,4,continuous,1,4,17,104,no_vacc,NA,4,,4,0,NA,,NA,Mara,1
HS1923,5,continuous,1,4,17,104,yes_vacc,1,4,yes_card,5,1,NA,no,1,Mara,1
HS1924,2,continuous,1,4,17,104,yes_vacc,2,0,yes_card,2,2,NA,no,0,Mara,1
HS1925,2,continuous,1,4,17,104,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
HS1926,1,continuous,1,4,17,104,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1927,1,continuous,1,4,17,104,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
HS1928,2,continuous,1,4,17,104,yes_vacc,0,2,yes_card,2,0,NA,no,2,Mara,1
HS1939,2,continuous,1,4,20,62,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
HS1940,1,continuous,1,4,20,62,yes_vacc,1,0,yes_card,NA,0,NA,no,1,Mara,1
HS1941,2,continuous,1,4,20,62,yes_vacc,2,0,yes_card,2,0,NA,no,2,Mara,1
HS1942,1,continuous,1,4,20,62,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,1
HS1943,3,continuous,1,4,20,62,yes_vacc,3,0,yes_card,2,2,NA,no,3,Mara,1
HS1944,2,continuous,1,4,20,62,yes_vacc,0,2,no_card,2,0,NA,no,2,Mara,1
HS1945,2,continuous,1,4,20,62,yes_vacc,1,1,yes_card,1,1,NA,no,1,Mara,1
HS1946,7,continuous,1,4,20,62,yes_vacc,1,6,yes_card,7,1,NA,no,1,Mara,1
HS1947,6,continuous,1,4,20,62,yes_vacc,3,3,yes_card,4,3,NA,no,3,Mara,1
HS1948,4,continuous,1,4,20,62,no_vacc,NA,4,,2,0,NA,,NA,Mara,1
HS1950,2,continuous,1,4,20,86,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
HS1951,2,continuous,1,4,20,86,yes_vacc,3,0,yes_card,1,1,NA,no,3,Mara,1
HS1949,2,continuous,1,4,20,86,no_vacc,NA,2,,2,0,NA,,NA,Mara,1
HS1963,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1962,3,continuous,1,4,20,86,yes_vacc,2,1,yes_card,3,2,NA,no,1,Mara,1
HS1961,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1964,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1966,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,0,NA,no,1,Mara,1
HS1965,5,continuous,1,4,20,86,yes_vacc,3,2,yes_card,5,3,NA,no,3,Mara,1
HS1874,3,continuous,1,4,20,86,yes_vacc,2,1,yes_card,3,2,1,yes,3,Mara,1
HS1873,4,continuous,1,4,20,86,yes_vacc,2,2,yes_card,2,0,NA,no,0,Mara,1
HS1953,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1954,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,0,NA,no,1,Mara,1
HS1955,10,continuous,1,4,20,86,no_vacc,NA,10,,10,0,NA,,NA,Mara,1
HS1956,1,continuous,1,4,20,86,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
HS1957,1,continuous,1,4,20,86,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
HS1958,2,continuous,1,4,20,86,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
HS1959,1,continuous,1,4,20,86,no_vacc,NA,1,,NA,0,NA,,NA,Mara,1
HS1976,2,continuous,1,4,22,55,yes_vacc,2,0,yes_card,1,0,NA,no,0,Mara,1
HS1975,2,continuous,1,4,22,55,yes_vacc,2,0,yes_card,NA,0,NA,no,0,Mara,1
HS1974,1,continuous,1,4,22,55,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
